GEO,GEO_OBJECT,EMPSTA_ENQ,AGE,PCS,RP_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,LIB_EMPSTA,LIB_PCS,code_insee,nom_commune,latitude,longitude,population
59009,COM,1T2,Y15T64,5,POP,A,2011,8421.50231,Actif,Employés,59009,Villeneuve-d'Ascq,50.62,3.132,62067
59172,COM,1T2,Y15T64,3,POP,A,2011,287.48444,Actif,Cadres et professions intellectuelles supérieures,59172,Denain,50.326,3.394,20640
59183,COM,1T2,Y15T64,3,POP,A,2016,4053.80955,Actif,Cadres et professions intellectuelles supérieures,59183,Dunkerque,51.038,2.377,86788
59328,COM,1T2,Y15T64,5,POP,A,2011,2992.01046,Actif,Employés,59328,Lambersart,50.647,3.021,27121
59378,COM,1T2,Y15T64,1,POP,A,2016,5.60446,Actif,Agriculteurs,59378,Marcq-en-Barœul,50.673,3.094,39356
59599,COM,1T2,Y15T64,_T,POP,A,2011,42045.50185,Actif,Total,59599,Tourcoing,50.724,3.161,99011
59172,COM,1T2,Y15T64,6,POP,A,2016,2890.61698,Actif,Ouvriers,59172,Denain,50.326,3.394,20640
58194,COM,1T2,Y15T64,6,POP,A,2011,3783.51781,Actif,Ouvriers,58194,Nevers,46.988,3.158,32830
59279,COM,1T2,Y15T64,3,POP,A,2016,886.5072,Actif,Cadres et professions intellectuelles supérieures,59279,Halluin,50.783,3.125,20829
59350,COM,1T2,Y15T64,3,POP,A,2011,27867.47608,Actif,Cadres et professions intellectuelles supérieures,59350,Lille,50.63,3.071,236710
59271,COM,1T2,Y15T64,5,POP,A,2011,2699.25723,Actif,Employés,59271,Grande-Synthe,51.014,2.302,20331
59410,COM,1T2,Y15T64,4,POP,A,2016,2181.56763,Actif,Professions intermédiaires,59410,Mons-en-Barœul,50.643,3.11,21467
59410,COM,1T2,Y15T64,1,POP,A,2016,3.66486,Actif,Agriculteurs,59410,Mons-en-Barœul,50.643,3.11,21467
59646,COM,1T2,Y15T64,_T,POP,A,2011,9593.92946,Actif,Total,59646,Wasquehal,50.669,3.131,20836
59279,COM,1T2,Y15T64,1,POP,A,2011,25.75297,Actif,Agriculteurs,59279,Halluin,50.783,3.125,20829
59178,COM,1T2,Y15T64,5,POP,A,2016,5363.14436,Actif,Employés,59178,Douai,50.368,3.08,39648
57631,COM,1T2,Y15T64,1,POP,A,2016,11.81744,Actif,Agriculteurs,57631,Sarreguemines,49.11,7.07,20624
58194,COM,1T2,Y15T64,3,POP,A,2016,1830.08613,Actif,Cadres et professions intellectuelles supérieures,58194,Nevers,46.988,3.158,32830
59410,COM,1T2,Y15T64,3,POP,A,2016,1723.89465,Actif,Cadres et professions intellectuelles supérieures,59410,Mons-en-Barœul,50.643,3.11,21467
