id;starttime;endtime;description;type;subtype;street;polyline;direction
20260421T213641_978_1842;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SE_Quai_d'Ivry_bretelle_3;48.8256223149031001 2.3876478986277982 48.8259155983512585 2.3876826342507655;ONE_DIRECTION
20260421T213641_5327_2597;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Guyane;48.8354750408976557 2.4119688906948844 48.8358203012873062 2.4121801291802050 48.8361449999216219 2.4123250904568510 48.8380543197874744 2.4129904365392281 48.8407184973657706 2.4137395946629461 48.8415501825651788 2.4137421889121180;ONE_DIRECTION
20260319T174414_1_2578;2026-03-19T17:44:14+02:00;2029-02-02T18:00:00+02:00;Travaux:maitre d'ouvrage:musée du louvre/Objet:réhabilitation d'immeuble/réduction à 2 voie/circulation restreinte;CONSTRUCTION;;Quai_du_Louvre;48.8600297667430894 2.3334197551070193 48.8596471475504828 2.3350638786248012;ONE_DIRECTION
20260421T213641_6096_3259;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SE_Bagnolet;48.8629297141699581 2.4137008322363944 48.8640470665936348 2.4139695911611123 48.8653565008179385 2.4139486721403749;ONE_DIRECTION
20251128T105025_1576_428;2025-11-28T10:50:25+02:00;2026-06-30T18:00:00+02:00;Eiffage - Bd_de_Strasbourg Réhabilitation d'immeuble.;CONSTRUCTION;;Bd_de_Strasbourg;48.8748621773544798 2.3574427699434275 48.8760907202728916 2.3583542891503821;ONE_DIRECTION
20260421T213641_5183_2451;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Montrouge;48.8219935919701058 2.3164148964772648 48.8207662368767501 2.3219033784041625;ONE_DIRECTION
20260317T163158_694_496;2026-03-17T16:31:58+02:00;2030-03-17T18:00:00+02:00;Sauf bus, vélos, livraisons, taxis et véhicules de propreté.;ROAD_CLOSED;ROAD_CLOSED_EVENT;Alesia;48.8275211427158737 2.3347450335124340 48.8278338814171917 2.3324867135109617;ONE_DIRECTION
20260105T010000_51_1371;2026-01-05T01:00:00+02:00;2026-09-11T08:00:00+02:00;APHP - Av_Victoria Réhabilitation d'immeuble;CONSTRUCTION;;St_Martin;48.8572868527320594 2.3493597051455777 48.8566957277057909 2.3489117032576678;ONE_DIRECTION
20251119T094151_1883_128;2025-11-19T09:41:51+02:00;2030-11-23T03:02:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8891347362227293 2.3227568237446317 48.8906061314747191 2.3202661057018483;ONE_DIRECTION
20260421T213641_788_817;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SE_Gentilly_bretelle_15;48.8161209030947276 2.3435476416502721 48.8160888214632394 2.3439162144290351;ONE_DIRECTION
